neighborhood,viz_name,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
abell,Abell,1105,43,743,190,2,90,1,5,31,1058,66,661,154,1,108,0,4,65,Baltimore City,-46,22,-82,-36,-1,18,-1,-1,34,-4.2,51.3,-11.1,-19,-49.9,20.1,-98.3,-20.7,110.7,67,17,4,62,15,6,Majority White,Majortiy White,Yes,red,green,red,red,red,green,red,red,green,661,154,66,"1,058"
allendale,Allendale,4036,26,20,3946,9,5,0,0,30,3416,40,42,3256,10,7,1,5,56,Baltimore City,-620,13,22,-690,1,2,1,5,26,-15.4,50.7,108.7,-17.5,9.8,33.8,100457.3,33566.5,87.9,0,98,1,1,95,1,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,42,"3,256",40,"3,416"
arcadia,Arcadia,1062,26,472,512,3,12,0,2,35,981,46,412,450,1,15,0,4,53,Baltimore City,-81,20,-60,-63,-2,4,0,2,18,-7.6,76.4,-12.7,-12.3,-51.3,30.5,21658,78.7,52.1,44,48,2,42,46,5,Majority Minority,Majority Minority,No,red,green,red,red,red,green,green,green,green,412,450,46,981
arlington,Arlington,2485,17,60,2354,3,8,0,3,39,2084,46,66,1885,5,22,1,1,58,Baltimore City,-401,29,5,-469,3,14,1,-2,18,-16.1,168.2,8.8,-19.9,102.3,174.2,Inf,-53.1,46.6,2,95,1,3,90,2,Majority Black,Majority Black,No,red,green,green,red,green,green,green,red,green,66,"1,885",46,"2,084"
armistead gardens,Armistead Gardens,2638,642,1768,142,18,10,3,1,54,2937,1440,1118,213,7,30,0,19,109,Baltimore City,299,799,-650,71,-11,20,-3,18,55,11.3,124.4,-36.8,49.8,-58.5,200.2,-91.9,2000.9,101.9,67,5,24,38,7,49,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"1,118",213,"1,440","2,937"
ashburton,Ashburton,3528,42,35,3398,5,9,1,7,30,3118,79,48,2856,13,16,3,10,93,Baltimore City,-410,37,12,-541,8,7,2,3,63,-11.6,86.1,35,-15.9,149.8,76.6,150.3,38.7,208.6,1,96,1,2,92,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,48,"2,856",79,"3,118"
baltimore highlands,Baltimore Highlands,1354,514,525,246,14,25,2,0,30,1502,895,373,162,7,25,0,6,34,Baltimore City,148,382,-151,-84,-7,0,-2,5,4,10.9,74.4,-28.9,-34,-51.6,0.6,-100,3297.5,14.8,39,18,38,25,11,60,Majority Hispanic,Majority Minority,Yes,green,green,red,red,red,green,red,green,green,373,162,895,"1,502"
barclay,Barclay,2065,84,403,1503,8,27,1,2,38,2706,197,696,1626,5,51,1,11,119,Baltimore City,641,113,293,123,-3,24,-0,9,81,31,135.6,72.8,8.2,-34.5,90.4,-40,499.8,211.1,20,73,4,26,60,7,Majority Black,Majority Black,No,green,green,green,green,red,green,red,green,green,696,"1,626",197,"2,706"
barre circle,Barre Circle,160,5,56,91,1,4,0,1,4,157,11,46,85,1,7,0,1,7,Baltimore City,-3,7,-10,-6,0,2,-0,1,3,-2,137.4,-18,-6.4,14,51,-3,120.3,78.9,35,57,3,29,54,7,Majority Black,Majority Black,No,red,green,red,red,green,green,red,green,green,46,85,11,157
bayview,Bayview,366,92,226,25,1,13,0,1,8,445,230,147,41,1,12,0,3,11,Baltimore City,79,139,-78,16,-0,-1,-0,1,3,21.5,151.2,-34.7,62,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,Majority Hispanic,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,147,41,230,445
beechfield,Beechfield,3690,81,348,3170,7,30,0,0,53,3932,154,422,3138,0,91,0,25,102,Baltimore City,241,73,73,-32,-7,61,-0,25,48,6.5,89.6,21.1,-1,-97.3,200.1,-52.6,23059.3,90.4,9,86,2,11,80,4,Majority Black,Majority Black,No,green,green,green,red,red,green,red,green,green,422,"3,138",154,"3,932"
belair-edison,Belair-Edison,13240,147,978,11828,24,105,0,11,145,11656,244,562,10432,26,44,3,45,299,Baltimore City,-1584,97,-416,-1395,2,-62,3,33,154,-12,65.6,-42.5,-11.8,8.4,-58.6,1418.9,290.6,106,7,89,1,5,90,2,Majority Black,Majority Black,No,red,green,red,red,green,red,green,green,green,562,"10,432",244,"11,656"
belair-parkside,Belair-Parkside,150,3,64,75,0,2,0,0,5,140,7,57,66,0,2,0,0,7,Baltimore City,-10,3,-7,-9,-0,1,0,0,2,-6.6,92,-11,-11.9,-50.2,33.5,0,68.7,43.9,43,50,2,41,47,5,Majority Minority,Majority Black,Yes,red,green,red,red,red,green,red,green,green,57,66,7,140
bellona-gittings,Bellona-Gittings,713,18,580,74,2,24,0,2,14,715,32,541,80,1,26,0,4,32,Baltimore City,2,14,-40,6,-1,2,0,2,18,0.3,77.4,-6.8,8.7,-50,7.2,NA,133.3,132.8,81,10,3,76,11,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,NA,green,green,541,80,32,715
belvedere,Belvedere,1065,17,115,904,4,7,0,1,17,982,18,105,806,1,11,0,3,39,Baltimore City,-83,1,-9,-98,-3,4,-0,2,22,-7.8,5.1,-8.3,-10.9,-84.2,56.2,-50,116.7,133.8,11,85,2,11,82,2,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,105,806,18,982
berea,Berea,3664,40,27,3543,8,10,0,3,34,2963,133,69,2650,10,6,1,12,82,Baltimore City,-701,92,42,-893,3,-4,1,9,48,-19.1,228.7,158.5,-25.2,35.7,-39.7,361845.1,314.5,140.9,1,97,1,2,89,4,Majority Black,Majority Black,No,red,green,green,red,green,red,green,green,green,69,"2,650",133,"2,963"
better waverly,Better Waverly,2644,66,251,2257,11,16,0,2,42,2397,174,273,1799,7,43,0,17,84,Baltimore City,-247,108,22,-459,-4,27,0,15,43,-9.3,164.7,8.9,-20.3,-33.7,169.5,4442.5,783,102.2,9,85,2,11,75,7,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,273,"1,799",174,"2,397"
beverly hills,Beverly Hills,524,15,255,230,2,5,0,1,14,465,21,208,200,1,5,0,3,27,Baltimore City,-59,5,-47,-30,-1,-0,0,1,13,-11.3,32.8,-18.5,-13,-53.7,-7.5,847252,105.1,88.2,49,44,3,45,43,4,Majority Minority,Majority Minority,No,red,green,red,red,red,red,green,green,green,208,200,21,465
biddle street,Biddle Street,2075,27,21,2000,4,5,0,1,17,1660,82,39,1481,7,4,0,5,43,Baltimore City,-414,55,19,-519,2,-1,-0,5,25,-20,206.7,91.1,-25.9,46.2,-27.4,-100,878.1,144.7,1,96,1,2,89,5,Majority Black,Majority Black,No,red,green,green,red,green,red,red,green,green,39,"1,481",82,"1,660"
blythewood,Blythewood,722,32,589,61,1,22,0,0,16,647,57,318,59,0,178,0,1,33,Baltimore City,-76,26,-271,-3,-1,156,0,1,17,-10.5,81,-46,-4.1,-99.9,697,Inf,168.2,103.2,82,9,4,49,9,9,Majority Minority,Majortiy White,Yes,red,green,red,red,red,green,green,green,green,318,59,57,647
bolton hill,Bolton Hill,5119,166,2724,1692,9,362,2,18,146,5154,315,2376,1578,4,598,0,35,248,Baltimore City,35,149,-349,-114,-4,236,-2,17,102,0.7,89.8,-12.8,-6.7,-50.7,65.3,-94.2,91,69.5,53,33,3,46,31,6,Majority Minority,Majortiy White,Yes,green,green,red,red,red,green,red,green,green,"2,376","1,578",315,"5,154"
boyd-booth,Boyd-Booth,611,12,108,465,1,11,0,1,12,373,17,45,286,2,3,0,3,18,Baltimore City,-238,5,-63,-179,0,-8,-0,2,6,-38.9,37.5,-58.4,-38.4,36.3,-72.5,-99.5,200.8,45.5,18,76,2,12,77,4,Majority Black,Majority Black,No,red,green,red,red,green,red,red,green,green,45,286,17,373
brewers hill,Brewers Hill,1107,111,887,44,12,34,0,2,16,1561,135,1166,82,6,101,0,5,67,Baltimore City,454,23,279,38,-6,67,-0,3,50,41,21,31.5,85.4,-51.7,196.7,-99.6,200.6,310,80,4,10,75,5,9,Majority White,Majortiy White,Yes,green,green,green,green,red,green,red,green,green,"1,166",82,135,"1,561"
bridgeview/greenlawn,Bridgeview/Greenlawn,3273,25,18,3174,6,6,0,5,40,2661,55,24,2511,5,6,1,9,51,Baltimore City,-613,29,6,-663,-1,0,1,4,11,-18.7,117.4,30.7,-20.9,-16.9,7.4,1617.2,92.5,26.8,1,97,1,1,94,2,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,24,"2,511",55,"2,661"
broadway east,Broadway East,4439,40,81,4240,10,10,1,1,56,3315,116,75,3000,6,22,0,8,89,Baltimore City,-1123,76,-7,-1240,-4,12,-1,7,33,-25.3,191.3,-8.1,-29.2,-41.3,112.9,-64.3,612.4,58.4,2,96,1,2,90,4,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,75,"3,000",116,"3,315"
broening manor,Broening Manor,213,44,116,40,3,4,0,0,5,227,98,75,41,1,3,0,1,8,Baltimore City,14,54,-41,1,-2,-1,-0,1,3,6.5,122.2,-35.5,3,-56,-33.2,-93.8,195.4,54.6,55,19,21,33,18,43,Majority Minority,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,75,41,98,227
brooklyn,Brooklyn,8458,978,3798,3179,37,126,2,16,321,8035,2355,2216,2827,33,138,1,43,421,Baltimore City,-423,1376,-1582,-352,-4,12,-1,27,101,-5,140.6,-41.6,-11.1,-10.7,9.8,-44.1,164.5,31.3,45,38,12,28,35,29,Majority Minority,Majority Minority,No,red,green,red,red,red,green,red,green,green,"2,216","2,827","2,355","8,035"
burleith-leighton,Burleith-Leighton,347,1,3,334,1,0,0,2,6,330,7,7,304,0,2,1,1,9,Baltimore City,-17,6,4,-30,-1,2,1,-2,3,-5,412.4,115,-9,-99.9,358,164200.6,-69.7,57.6,1,96,0,2,92,2,Majority Black,Majority Black,No,red,green,green,red,red,green,green,red,green,7,304,7,330
butcher's hill,Butcher's Hill,1799,207,1060,429,14,52,1,3,33,1953,257,1093,379,5,112,0,13,93,Baltimore City,154,51,33,-50,-9,60,-1,9,61,8.6,24.6,3.1,-11.6,-62.2,113.9,-100,289.4,186.2,59,24,11,56,19,13,Majority White,Majortiy White,Yes,green,green,green,red,red,green,red,green,green,"1,093",379,257,"1,953"
callaway-garrison,Callaway-Garrison,1813,18,25,1742,5,5,0,3,15,1607,45,39,1459,6,9,1,5,42,Baltimore City,-206,27,14,-283,2,4,0,2,26,-11.4,152.6,56.1,-16.2,36.3,92.5,150.1,74.9,173.7,1,96,1,2,91,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,39,"1,459",45,"1,607"
cameron village,Cameron Village,1068,17,114,908,4,7,0,1,17,985,18,105,809,1,11,0,3,39,Baltimore City,-83,1,-9,-99,-3,4,-0,2,22,-7.8,5.3,-8.2,-10.9,-84,55.9,-50,118.4,133.6,11,85,2,11,82,2,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,105,809,18,985
canton,Canton,9923,636,8302,456,35,318,7,16,154,10487,796,8246,459,30,489,1,47,420,Baltimore City,564,160,-56,3,-5,172,-6,31,265,5.7,25.2,-0.7,0.7,-14.7,54,-87.6,196.7,171.7,84,5,6,79,4,8,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"8,246",459,796,"10,487"
canton industrial area,Canton Industrial Area,4511,1058,2625,584,54,88,4,8,89,5434,2045,2336,655,25,160,1,27,187,Baltimore City,923,987,-289,71,-30,72,-4,19,98,20.5,93.2,-11,12.1,-54.7,81.9,-88.3,246.9,109.5,58,13,23,43,12,38,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"2,336",655,"2,045","5,434"
care,Care,1125,97,272,700,10,30,1,1,14,1320,188,365,612,6,87,0,12,50,Baltimore City,195,91,94,-88,-4,58,-1,11,36,17.3,94.4,34.5,-12.6,-44.1,193.9,-100,1081.8,250.9,24,62,9,28,46,14,Majority Minority,Majority Black,Yes,green,green,green,red,red,green,red,green,green,365,612,188,"1,320"
carroll - camden industrial area,Carroll - Camden Industrial Area,2746,93,1048,1393,10,123,1,10,69,2577,164,760,1359,9,137,1,18,128,Baltimore City,-170,71,-287,-34,-1,14,1,9,59,-6.2,75.9,-27.4,-2.5,-12.1,11.4,99.9,92,86,38,51,3,30,53,6,Majority Black,Majority Black,No,red,green,red,red,red,green,green,green,green,760,"1,359",164,"2,577"
carroll park,Carroll Park,1272,49,499,599,4,85,0,4,32,1119,62,315,583,1,86,0,8,64,Baltimore City,-153,12,-184,-16,-3,1,-0,4,32,-12.1,25,-36.9,-2.6,-80.6,1.7,-100,110.4,101,39,47,4,28,52,6,Majority Black,Majority Minority,Yes,red,green,red,red,red,green,red,green,green,315,583,62,"1,119"
carroll-south hilton,Carroll-South Hilton,1921,43,486,1345,4,13,0,2,27,1638,122,317,1076,6,28,0,9,79,Baltimore City,-283,79,-170,-269,3,15,0,7,52,-14.7,184.3,-34.9,-20,74.4,114.8,53.5,330.6,190.4,25,70,2,19,66,7,Majority Black,Majority Black,No,red,green,red,red,green,green,green,green,green,317,"1,076",122,"1,638"
carrollton ridge,Carrollton Ridge,3567,147,1047,2187,14,77,1,5,89,2382,203,460,1539,10,38,0,12,120,Baltimore City,-1185,55,-587,-648,-4,-39,-0,7,31,-33.2,37.6,-56.1,-29.6,-28.4,-51.1,-50.7,158.8,34.9,29,61,4,19,65,9,Majority Black,Majority Black,No,red,green,red,red,red,red,red,green,green,460,"1,539",203,"2,382"
cedarcroft,Cedarcroft,588,16,474,64,1,20,0,1,11,589,27,442,70,1,21,0,3,26,Baltimore City,1,11,-33,5,-1,1,-0,2,15,0.2,72.2,-6.9,7.9,-49.2,7.1,-33.3,129.3,131.1,81,11,3,75,12,5,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,442,70,27,589
cedmont,Cedmont,2813,80,923,1718,9,35,0,5,44,2759,118,596,1911,4,24,1,8,97,Baltimore City,-54,38,-327,193,-5,-11,1,3,54,-1.9,48.1,-35.4,11.2,-60,-31.7,1746319.3,62.5,123,33,61,3,22,69,4,Majority Black,Majority Black,No,red,green,red,green,red,red,green,green,green,596,"1,911",118,"2,759"
cedonia,Cedonia,1453,29,156,1228,2,9,0,4,25,1438,29,95,1248,5,8,0,11,41,Baltimore City,-15,0,-61,20,3,-1,0,7,17,-1.1,1.4,-38.9,1.6,118.6,-14.7,14352,163,66.6,11,85,2,7,87,2,Majority Black,Majority Black,No,red,green,red,green,green,red,green,green,green,95,"1,248",29,"1,438"
central forest park,Central Forest Park,1067,11,24,1014,3,3,0,1,11,923,29,29,827,3,6,0,8,22,Baltimore City,-144,17,5,-187,0,2,0,7,11,-13.5,148.4,20.7,-18.5,7.3,63.4,Inf,799.2,105.4,2,95,1,3,90,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,29,827,29,923
central park heights,Central Park Heights,5626,62,108,5361,17,9,0,5,65,4406,110,124,4031,10,12,1,16,100,Baltimore City,-1220,48,17,-1329,-7,3,1,12,35,-21.7,78.5,15.5,-24.8,-38.9,32,569.1,258.2,53.1,2,95,1,3,91,2,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,124,"4,031",110,"4,406"
charles north,Charles North,1576,62,479,912,6,79,1,1,36,1684,129,583,784,3,100,2,8,75,Baltimore City,108,67,105,-128,-3,21,2,6,38,6.8,107.7,21.9,-14.1,-48.2,27,319.4,438.9,104.9,30,58,4,35,47,8,Majority Minority,Majority Black,Yes,green,green,green,red,red,green,green,green,green,583,784,129,"1,684"
charles village,Charles Village,4676,234,1989,1599,15,695,4,9,132,4644,451,1739,1322,8,849,5,29,240,Baltimore City,-32,217,-250,-277,-7,155,1,20,108,-0.7,92.9,-12.6,-17.3,-49.5,22.3,34.3,232.1,82,43,34,5,37,28,10,Majority Minority,Majority Minority,No,red,green,red,red,red,green,green,green,green,"1,739","1,322",451,"4,644"
cherry hill,Cherry Hill,8589,467,518,7406,16,68,1,8,104,8236,1101,390,6350,12,84,1,30,267,Baltimore City,-353,635,-128,-1056,-3,16,-0,22,163,-4.1,136.1,-24.7,-14.3,-21.3,24,-29.3,256.5,156.6,6,86,5,5,77,13,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,390,"6,350","1,101","8,236"
cheswolde,Cheswolde,6991,156,5089,1338,8,292,2,13,93,7147,218,4724,1686,5,180,0,122,213,Baltimore City,156,62,-365,348,-3,-112,-2,109,120,2.2,39.7,-7.2,26,-36.2,-38.4,-100,862.2,129,73,19,2,66,24,3,Majority White,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,"4,724","1,686",218,"7,147"
chinquapin park,Chinquapin Park,1179,19,127,1001,5,8,0,1,18,1087,20,117,892,1,12,0,3,43,Baltimore City,-92,1,-10,-109,-4,4,-0,2,25,-7.8,5,-8.3,-10.9,-84.2,56.1,-50,116.5,133.7,11,85,2,11,82,2,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,117,892,20,"1,087"
clifton park,Clifton Park,2487,44,534,1838,9,25,0,2,37,2113,53,428,1519,2,26,0,7,78,Baltimore City,-375,10,-106,-319,-7,1,0,5,41,-15.1,22,-19.9,-17.4,-77.6,2.6,Inf,329.9,113.6,21,74,2,20,72,3,Majority Black,Majority Black,No,red,green,red,red,red,green,green,green,green,428,"1,519",53,"2,113"
coldspring,Coldspring,1068,17,189,791,5,36,0,3,27,1182,36,238,783,3,54,0,5,63,Baltimore City,114,19,49,-8,-2,18,-0,2,36,10.6,107.4,26,-1,-38,48.9,-92.1,63.4,132.5,18,74,2,20,66,3,Majority Black,Majority Black,No,green,green,green,red,red,green,red,green,green,238,783,36,"1,182"
coldstream homestead montebello,Coldstream Homestead Montebello,7924,130,215,7407,17,44,0,9,102,6188,195,267,5420,13,38,1,36,218,Baltimore City,-1736,65,52,-1986,-4,-6,1,27,116,-21.9,49.7,24,-26.8,-24.8,-14.2,Inf,300.5,113.9,3,93,2,4,88,3,Majority Black,Majority Black,No,red,green,green,red,red,red,green,green,green,267,"5,420",195,"6,188"
concerned citizens of forest park,Concerned Citizens Of Forest Park,519,6,10,495,2,1,0,1,5,486,10,18,440,1,3,0,3,12,Baltimore City,-33,4,8,-55,-1,3,0,2,7,-6.3,69.2,80.5,-11.1,-51.5,311.6,Inf,403.1,132.7,2,95,1,4,90,2,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,18,440,10,486
coppin heights/ash-co-east,Coppin Heights/Ash-Co-East,2702,19,20,2622,4,10,2,0,25,1936,14,22,1855,4,6,0,3,32,Baltimore City,-765,-5,2,-766,0,-4,-2,3,7,-28.3,-27.8,9.5,-29.2,3.5,-39,-98.7,709.5,28.3,1,97,1,1,96,1,Majority Black,Majority Black,No,red,red,green,red,green,red,red,green,green,22,"1,855",14,"1,936"
cross country,Cross Country,5375,125,3961,1019,3,184,1,19,64,5446,248,3760,1112,1,62,0,91,171,Baltimore City,71,123,-201,93,-2,-122,-1,72,108,1.3,98.2,-5.1,9.1,-60.5,-66.4,-100,372.9,169.1,74,19,2,69,20,5,Majority White,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,"3,760","1,112",248,"5,446"
cross keys,Cross Keys,834,15,694,83,0,25,1,4,13,860,41,662,87,1,43,0,3,24,Baltimore City,26,26,-32,4,1,18,-1,-1,11,3.1,176.6,-4.5,4.8,7179.6,69.9,-99.8,-23.5,85.2,83,10,2,77,10,5,Majority White,Majortiy White,Yes,green,green,red,green,green,green,red,red,green,662,87,41,860
curtis bay,Curtis Bay,842,54,437,290,6,17,0,1,38,792,115,304,301,2,10,1,6,54,Baltimore City,-50,61,-132,11,-4,-7,1,4,16,-6,114.1,-30.3,3.9,-69.4,-41.6,Inf,362.5,40.9,52,34,6,38,38,14,Majority Minority,Majortiy White,Yes,red,green,red,green,red,red,green,green,green,304,301,115,792
curtis bay industrial area,Curtis Bay Industrial Area,685,44,355,236,5,14,0,1,31,644,93,247,245,1,8,1,5,44,Baltimore City,-41,50,-108,9,-3,-6,1,4,13,-6,114.1,-30.3,3.9,-69.4,-41.6,Inf,362.5,40.9,52,34,6,38,38,14,Majority Minority,Majortiy White,Yes,red,green,red,green,red,red,green,green,green,247,245,93,644
cylburn,Cylburn,2264,24,78,2119,9,6,0,3,25,1842,54,75,1654,5,5,1,7,41,Baltimore City,-423,29,-3,-465,-4,-1,1,4,16,-18.7,121.7,-3.9,-21.9,-44.7,-15.4,Inf,150.4,64.3,3,94,1,4,90,3,Majority Black,Majority Black,No,red,green,red,red,red,red,green,green,green,75,"1,654",54,"1,842"
darley park,Darley Park,657,4,5,638,2,2,0,0,6,514,5,12,468,1,0,0,5,23,Baltimore City,-143,1,7,-170,-1,-2,0,5,17,-21.8,27.8,149.9,-26.6,-60,-99.9,Inf,261719.9,268.3,1,97,1,2,91,1,Majority Black,Majority Black,No,red,green,green,red,red,red,green,green,green,12,468,5,514
dickeyville,Dickeyville,692,13,56,608,2,3,0,3,7,622,24,70,493,1,8,0,3,22,Baltimore City,-70,11,15,-115,-1,5,0,1,14,-10.1,83.1,26.8,-18.9,-27.3,157.9,NA,20.1,197.6,8,88,2,11,79,4,Majority Black,Majority Black,No,red,green,green,red,red,green,NA,green,green,70,493,24,622
dolfield,Dolfield,1598,15,24,1534,4,4,0,2,13,1417,41,38,1284,5,8,0,4,35,Baltimore City,-181,26,14,-250,1,4,0,2,22,-11.3,176.9,60,-16.3,18.8,96.9,150,88.6,163.7,2,96,1,3,91,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,38,"1,284",41,"1,417"
dorchester,Dorchester,1683,14,30,1614,6,4,0,2,14,1496,46,49,1348,5,9,0,5,33,Baltimore City,-187,33,20,-266,-1,5,0,3,19,-11.1,240.9,66.5,-16.5,-12.2,106,Inf,138.6,137.9,2,96,1,3,90,3,Majority Black,Majority Black,No,red,green,green,red,red,green,green,green,green,49,"1,348",46,"1,496"
downtown,Downtown,3541,195,1609,902,8,713,3,14,97,5899,419,2159,1905,6,1036,0,39,333,Baltimore City,2358,224,551,1003,-2,323,-3,26,237,66.6,114.5,34.2,111.2,-22.6,45.3,-95.6,186.7,244.9,45,25,6,37,32,7,Majority Minority,Majority Minority,No,green,green,green,green,red,green,red,green,green,"2,159","1,905",419,"5,899"
downtown west,Downtown West,954,38,600,176,3,111,1,3,22,1347,85,711,302,1,171,0,9,67,Baltimore City,393,47,111,126,-1,60,-1,6,46,41.2,122.7,18.5,71.3,-54.8,54,-93.2,216.6,211.5,63,18,4,53,22,6,Majority White,Majortiy White,Yes,green,green,green,green,red,green,red,green,green,711,302,85,"1,347"
druid heights,Druid Heights,1409,20,59,1293,3,10,1,3,19,1234,17,65,1091,2,6,2,3,47,Baltimore City,-174,-3,6,-202,-1,-4,1,0,28,-12.4,-14.4,9.5,-15.7,-19.7,-36.9,99.7,1.9,146.1,4,92,1,5,88,1,Majority Black,Majority Black,No,red,red,green,red,red,red,green,green,green,65,"1,091",17,"1,234"
druid hill park,Druid Hill Park,1866,27,114,1675,2,6,0,3,40,1528,35,136,1291,5,8,0,5,48,Baltimore City,-338,9,22,-383,3,2,0,2,8,-18.1,32.6,19.3,-22.9,124.6,34.8,Inf,78.3,20.4,6,90,1,9,85,2,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,136,"1,291",35,"1,528"
dunbar-broadway,Dunbar-Broadway,1524,48,174,1219,4,55,1,3,19,1350,130,199,853,3,94,0,14,57,Baltimore City,-174,82,24,-366,-1,39,-1,11,38,-11.4,169.5,13.9,-30,-29.1,71.9,-99.2,433.6,199.4,11,80,3,15,63,10,Majority Black,Majority Black,No,red,green,green,red,red,green,red,green,green,199,853,130,"1,350"
dundalk marine terminal,Dundalk Marine Terminal,532,111,301,87,8,11,1,1,12,563,247,195,89,3,7,0,3,19,Baltimore City,32,136,-106,2,-4,-4,-1,2,7,5.9,122.4,-35.3,2,-57.4,-36.4,-100,210,53.2,57,16,21,35,16,44,Majority Minority,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,195,89,247,563
east arlington,East Arlington,1303,16,13,1254,2,3,0,3,11,1149,29,18,1052,5,6,1,4,34,Baltimore City,-154,13,5,-202,3,3,1,1,23,-11.8,84.8,37.4,-16.1,145.5,75,150.8,40.1,205.1,1,96,1,2,92,3,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,18,"1,052",29,"1,149"
east baltimore midway,East Baltimore Midway,2900,13,34,2790,12,19,0,0,32,2230,63,72,2012,6,6,0,12,59,Baltimore City,-669,50,38,-778,-6,-13,-0,12,28,-23.1,384.7,109.2,-27.9,-47.1,-68.4,-100,135346.8,87.2,1,96,0,3,90,3,Majority Black,Majority Black,No,red,green,green,red,red,red,red,green,green,72,"2,012",63,"2,230"
easterwood,Easterwood,1271,10,9,1234,1,5,0,1,10,865,7,9,828,1,1,0,3,16,Baltimore City,-405,-3,-0,-407,0,-4,0,2,6,-31.9,-29.6,-3.4,-32.9,40.3,-77.6,7.5,198,61.1,1,97,1,1,96,1,Majority Black,Majority Black,No,red,red,red,red,green,red,green,green,green,9,828,7,865
eastwood,Eastwood,110,28,68,8,0,4,0,0,2,134,69,44,12,0,4,0,1,3,Baltimore City,24,42,-24,5,-0,-0,-0,0,1,21.5,151.2,-34.7,62,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,Majority Hispanic,Majortiy White,Yes,green,green,red,green,red,red,red,green,green,44,12,69,134
edgewood,Edgewood,681,5,5,661,3,0,1,0,5,585,11,6,554,1,1,0,1,11,Baltimore City,-96,6,2,-107,-3,0,-1,1,6,-14.1,114.8,36.1,-16.2,-73,168.6,-99,211.6,107.3,1,97,1,1,95,2,Majority Black,Majority Black,No,red,green,green,red,red,green,red,green,green,6,554,11,585
