neighborhood,viz_name,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
woodberry,Woodberry,1463,57,969,355,10,36,0,1,35,1295,68,880,233,10,41,0,6,57,Baltimore City,-168,11,-89,-122,0,5,0,5,22,-11.5,19.3,-9.2,-34.4,0.7,14.1,5941.5,410.8,62.6,66,24,4,68,18,5,Majority White,Majortiy White,Yes,red,green,red,red,green,green,green,green,green,880,233,68,"1,295"
woodbourne heights,Woodbourne Heights,1572,25,65,1438,2,10,1,1,30,1463,42,49,1309,3,11,0,8,42,Baltimore City,-109,17,-16,-129,1,1,-1,7,12,-7,65.7,-24.4,-9,31.3,5.5,-98.6,674,40.9,4,91,2,3,89,3,Majority Black,Majority Black,No,red,green,red,red,green,green,red,green,green,49,"1,309",42,"1,463"
woodbourne-mccabe,Woodbourne-Mccabe,842,10,23,791,4,2,0,1,11,794,23,26,716,2,0,0,5,21,Baltimore City,-47,13,3,-75,-2,-1,0,4,10,-5.6,135.4,14.3,-9.5,-42.9,-87.5,NA,400,89.1,3,94,1,3,90,3,Majority Black,Majority Black,No,red,green,green,red,red,red,NA,green,green,26,716,23,794
woodmere,Woodmere,2004,37,72,1848,4,10,0,2,30,1750,100,73,1500,5,17,1,5,50,Baltimore City,-254,63,0,-348,1,7,0,3,20,-12.7,172.2,0.6,-18.8,17.3,65.9,47.4,124.4,67.3,4,92,2,4,86,6,Majority Black,Majority Black,No,red,green,green,red,green,green,green,green,green,73,"1,500",100,"1,750"
wrenlane,Wrenlane,340,5,9,319,0,1,0,0,5,301,6,12,268,0,1,0,2,11,Baltimore City,-39,1,3,-50,-0,-0,0,2,6,-11.5,15.2,29.7,-15.8,-33.3,-14.3,NA,366.7,130.3,3,94,1,4,89,2,Majority Black,Majority Black,No,red,green,green,red,red,red,NA,green,green,12,268,6,301
wyman park,Wyman Park,1341,44,1104,97,3,66,0,1,26,1359,57,1023,104,2,109,0,6,59,Baltimore City,18,13,-81,7,-2,43,-0,5,33,1.4,30.2,-7.3,6.8,-49.4,64.9,-48.8,407.3,130,82,7,3,75,8,4,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"1,023",104,57,"1,359"
wyndhurst,Wyndhurst,1030,25,823,93,2,67,0,2,19,1012,43,769,110,1,38,0,7,44,Baltimore City,-18,18,-54,17,-1,-29,0,5,24,-1.8,74.6,-6.5,18.4,-45.6,-43.1,Inf,270.4,127.5,80,9,2,76,11,4,Majority White,Majortiy White,Yes,red,green,red,green,red,red,green,green,green,769,110,43,"1,012"
yale heights,Yale Heights,1947,38,157,1688,7,18,1,7,30,1913,55,112,1657,0,30,0,7,52,Baltimore City,-34,16,-45,-31,-7,12,-1,0,22,-1.7,42.5,-28.5,-1.9,-99.6,66.7,-99.8,0.5,73.9,8,87,2,6,87,3,Majority Black,Majority Black,No,red,green,red,red,red,green,red,green,green,112,"1,657",55,"1,913"
york-homeland,York-Homeland,127,4,66,49,0,6,0,0,2,158,11,63,49,0,25,0,1,8,Baltimore City,30,8,-3,1,-0,19,0,1,6,23.9,212.6,-4.7,1.1,-18,304.6,Inf,996.6,239.8,52,38,3,40,31,7,Majority Minority,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,63,49,11,158
arbutus/lansdowne,Arbutus/Lansdowne,35896,2255,25100,5434,71,2135,24,52,825,38383,4925,21151,6215,78,3763,8,213,2031,Baltimore County,2487,2669,-3949,781,7,1628,-16,161,1206,6.9,118.4,-15.7,14.4,9.9,76.2,-66.7,309.7,146.3,70,15,6,55,16,13,Majority White,Majortiy White,Yes,green,green,red,green,green,green,red,green,green,"21,151","6,215","4,925","38,383"
catonsville,Catonsville,35073,1241,24930,5661,89,2280,21,57,795,37965,2045,23874,6273,54,3709,15,201,1794,Baltimore County,2891,805,-1056,612,-35,1429,-6,144,999,8.2,64.9,-4.2,10.8,-39.3,62.7,-28.6,252.6,125.7,71,16,4,63,17,5,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"23,874","6,273","2,045","37,965"
chase/bowleys quarters,Chase/Bowleys Quarters,18467,450,15335,2197,40,164,2,22,257,23140,1038,15494,4707,53,681,7,82,1077,Baltimore County,4673,588,160,2510,13,517,5,60,820,25.3,130.8,1,114.2,32.4,316,249.2,272.7,318.7,83,12,2,67,20,4,Majority White,Majortiy White,Yes,green,green,green,green,green,green,green,green,green,"15,494","4,707","1,038","23,140"
chestnut ridge,Chestnut Ridge,15869,267,14035,484,2,899,1,36,145,15788,468,12890,819,9,1103,0,57,442,Baltimore County,-80,201,-1144,335,7,203,-1,21,297,-0.5,75.6,-8.2,69.3,347,22.6,-99.7,58.4,204.7,88,3,2,82,5,3,Majority White,Majortiy White,Yes,red,green,red,green,green,green,red,green,green,"12,890",819,468,"15,788"
cockeysville/timonium,Cockeysville/Timonium,27103,1839,17396,3981,53,3139,3,67,625,29123,3551,15915,5166,51,3247,15,141,1037,Baltimore County,2020,1712,-1482,1186,-2,108,12,74,412,7.5,93.1,-8.5,29.8,-3.8,3.4,399.7,110.5,65.9,64,15,7,55,18,12,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"15,915","5,166","3,551","29,123"
dundalk/turners station,Dundalk/Turners Station,35119,2293,28012,2982,285,598,9,25,914,38988,6968,23991,4713,250,827,17,184,2037,Baltimore County,3869,4675,-4020,1731,-35,229,8,159,1123,11,203.9,-14.4,58,-12.2,38.4,83.2,632.5,122.8,80,8,7,62,12,18,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"23,991","4,713","6,968","38,988"
edgemere,Edgemere,11338,189,8489,2338,55,61,2,3,202,11654,476,8437,1985,35,89,2,28,602,Baltimore County,316,287,-52,-352,-20,28,0,25,400,2.8,152.1,-0.6,-15.1,-36.9,46.7,16.1,873.8,197.8,75,21,2,72,17,4,Majority White,Majortiy White,Yes,green,green,red,red,red,green,green,green,green,"8,437","1,985",476,"11,654"
essex,Essex,44498,2209,29132,11012,202,743,13,92,1097,45965,3588,24190,14256,222,890,16,311,2492,Baltimore County,1466,1379,-4942,3245,20,147,3,219,1396,3.3,62.4,-17,29.5,9.9,19.8,23.1,238.1,127.2,65,25,5,53,31,8,Majority White,Majortiy White,Yes,green,green,red,green,green,green,green,green,green,"24,190","14,256","3,588","45,965"
fork,Fork,6976,125,6584,67,10,110,1,5,74,7116,207,6403,77,1,133,3,21,271,Baltimore County,140,82,-181,10,-9,23,2,16,197,2,65.6,-2.8,15,-89.9,20.8,200.5,319.6,266.1,94,1,2,90,1,3,Majority White,Majortiy White,Yes,green,green,red,green,red,green,green,green,green,"6,403",77,207,"7,116"
fowblesburg,Fowblesburg,4641,139,4034,310,4,89,0,12,52,4683,227,3606,496,0,147,0,25,181,Baltimore County,42,88,-428,186,-4,58,-0,13,129,0.9,63.3,-10.6,59.9,-99.8,65.1,-81.4,108.5,247.7,87,7,3,77,11,5,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"3,606",496,227,"4,683"
greenspring valley/pikesville,Greenspring Valley/Pikesville,42132,1207,30664,7133,32,2355,17,93,631,46354,2054,29433,10720,46,2266,16,328,1491,Baltimore County,4222,847,-1231,3587,14,-89,-1,235,859,10,70.2,-4,50.3,43.7,-3.8,-5.9,252.8,136.1,73,17,3,63,23,4,Majority White,Majortiy White,Yes,green,green,red,green,green,red,red,green,green,"29,433","10,720","2,054","46,354"
harrisonville,Harrisonville,5141,153,2916,1829,10,110,3,17,102,4789,195,2531,1687,17,120,1,33,204,Baltimore County,-352,42,-385,-142,7,10,-2,16,102,-6.8,27.4,-13.2,-7.7,70,9.2,-66.6,94.2,99.9,57,36,3,53,35,4,Majority White,Majortiy White,Yes,red,green,red,red,green,green,red,green,green,"2,531","1,687",195,"4,789"
hereford/maryland line,Hereford/Maryland Line,14553,250,13597,322,25,185,4,14,156,14621,393,13025,262,33,245,4,60,599,Baltimore County,68,143,-572,-60,8,60,0,46,443,0.5,57.2,-4.2,-18.6,32,32.4,0,328.6,283.9,93,2,2,89,2,3,Majority White,Majortiy White,Yes,green,green,red,red,green,green,green,green,green,"13,025",262,393,"14,621"
jacksonville,Jacksonville,10693,214,9992,103,14,241,2,22,105,11270,379,9982,132,12,290,0,47,428,Baltimore County,577,165,-10,29,-2,49,-2,25,323,5.4,77.1,-0.1,28.2,-14.3,20.3,-100,113.6,307.6,93,1,2,89,1,3,Majority White,Majortiy White,Yes,green,green,red,green,red,green,red,green,green,"9,982",132,379,"11,270"
kingsville,Kingsville,5303,86,5038,67,6,63,0,5,38,5264,172,4788,56,5,63,11,12,157,Baltimore County,-39,86,-250,-11,-1,-0,11,7,119,-0.7,100,-5,-16.4,-16.7,-0,680813694.8,140,313.2,95,1,2,91,1,3,Majority White,Majortiy White,Yes,red,green,red,red,red,red,green,green,green,"4,788",56,172,"5,264"
liberty/lochearn,Liberty/Lochearn,58720,2179,6395,47648,131,1053,16,116,1182,60276,3529,4576,48730,128,1121,11,332,1849,Baltimore County,1556,1350,-1819,1082,-3,67,-5,216,667,2.6,62,-28.4,2.3,-2.3,6.4,-31.2,186.2,56.4,11,81,4,8,81,6,Majority Black,Majority Black,No,green,green,red,green,red,green,red,green,green,"4,576","48,730","3,529","60,276"
